input,gold_hard,fine_label,llm_soft,llm_hard
How did serfdom develop in and then leave Russia ?,description,26,"[{'description': -0.0019288338, 'entity': -6.2560635, 'location': -12.385167, 'n': -12.440755, 'human': -16.325521}]",description
What films featured the character Popeye Doyle ?,entity,5,"[{'entity': -0.5182274, 'description': -0.9053276, 'human': -11.401352, 'n': -12.578399, 'location': -14.208946}]",entity
How can I find a list of celebrities ' real names ?,description,26,"[{'entity': -0.24335913, 'description': -2.1421704, 'human': -2.3166623, 'n': -12.142367, 'location': -12.823413}]",entity
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,entity,2,"[{'entity': -0.35824615, 'description': -1.2003558, 'ab': -12.400993, 'n': -12.440642, 'human': -12.790869}]",entity
What is the full form of .com ?,abbreviation,1,"[{'ab': -2.9041616e-05, 'entity': -10.846585, 'description': -11.7437105, 'n': -13.332632, 'location': -20.044195}]",ab
What contemptible scoundrel stole the cork from my lunch ?,human being,29,"[{'description': -0.0023922492, 'entity': -6.0471306, 'human': -10.740978, 'n': -13.09219, 'location': -14.059063}]",description
What team did baseball 's St. Louis Browns become ?,human being,28,"[{'entity': -0.016405035, 'description': -4.1426945, 'ab': -8.077303, 'location': -10.000139, 'human': -10.862512}]",entity
What is the oldest profession ?,human being,30,"[{'description': -0.015341805, 'entity': -4.396514, 'human': -5.8464193, 'n': -11.539702, 'location': -12.629332}]",description
What are liver enzymes ?,description,24,"[{'description': -0.016732398, 'entity': -4.099298, 'n': -11.778634, 'ab': -13.93319, 'human': -15.100663}]",description
Name the scar-faced bounty hunter of The Old West .,human being,29,"[{'human': -0.7049127, 'entity': -0.8044001, 'description': -2.8394113, 'n': -10.683573, 'location': -11.774218}]",human
When was Ozzy Osbourne born ?,numeric value,39,"[{'human': -0.10597252, 'entity': -2.5477145, 'n': -3.817047, 'description': -8.296616, 'location': -10.045867}]",human
Why do heavier objects travel downhill faster ?,description,27,"[{'description': -0.0010446515, 'n': -7.499374, 'entity': -7.622962, 'location': -13.989554, 'human': -14.684592}]",description
Who was The Pride of the Yankees ?,human being,29,"[{'entity': -0.82950574, 'human': -1.0245436, 'description': -1.5860136, 'n': -10.385986, 'location': -12.700317}]",entity
Who killed Gandhi ?,human being,29,"[{'human': -0.3693568, 'entity': -1.1906611, 'description': -5.345156, 'n': -10.873232, 'location': -11.608667}]",human
What is considered the costliest disaster the insurance industry has ever faced ?,entity,8,"[{'n': -0.18244079, 'description': -2.1566684, 'entity': -2.9768286, 'ab': -9.771949, 'location': -10.567984}]",n
What sprawling U.S. state boasts the most airports ?,location,36,"[{'location': -0.0008579108, 'entity': -7.2270007, 'description': -9.109874, 'ab': -11.459421, 'n': -11.533426}]",location
What did the only repealed amendment to the U.S. Constitution deal with ?,description,25,"[{'description': -0.6538787, 'entity': -0.7354294, 'ab': -7.4994974, 'n': -9.353852, 'location': -10.606622}]",description
How many Jews were executed in concentration camps during WWII ?,numeric value,38,"[{'n': -9.72699e-06, 'entity': -11.591172, 'description': -14.747675, 'ab': -16.493677, 'human': -18.699144}]",n
What is `` Nine Inch Nails '' ?,description,24,"[{'ab': -0.16348715, 'entity': -1.8937728, 'description': -8.067844, 'n': -11.974933, 'human': -17.343021}]",ab
What is an annotated bibliography ?,description,24,"[{'description': -0.0076165833, 'entity': -4.881388, 'ab': -14.265132, 'n': -14.714038, 'location': -16.159807}]",description
What is the date of Boxing Day ?,numeric value,39,"[{'n': -0.00027327676, 'entity': -8.569586, 'description': -9.447271, 'ab': -12.625791, 'location': -13.741071}]",n
What articles of clothing are tokens in Monopoly ?,entity,13,"[{'description': -0.0057605226, 'entity': -5.1604004, 'n': -12.361214, 'human': -15.584701, 'ab': -16.219658}]",description
Name 11 famous martyrs .,human being,29,"[{'description': -0.27307495, 'entity': -1.444843, 'human': -5.758793, 'n': -10.642704, 'location': -12.954195}]",description
What 's the Olympic motto ?,description,25,"[{'description': -0.12484137, 'entity': -2.1748292, 'ab': -5.6318755, 'n': -9.065256, 'location': -10.736292}]",description
What is the origin of the name ` Scarlett ' ?,description,25,"[{'description': -0.009580422, 'entity': -4.6543326, 'location': -11.774877, 'human': -12.186566, 'n': -13.4439745}]",description
What 's the second-most-used vowel in English ?,entity,12,"[{'n': -0.100892715, 'description': -2.9509676, 'entity': -3.1439683, 'ab': -7.5300083, 'location': -10.631486}]",n
Who was the inventor of silly putty ?,human being,29,"[{'entity': -0.616651, 'human': -0.91138226, 'description': -2.8436482, 'n': -9.710622, 'location': -11.6622505}]",entity
What is the highest waterfall in the United States ?,location,35,"[{'n': -1.0308505, 'location': -1.1880925, 'entity': -1.4324238, 'description': -2.3052037, 'ab': -10.8560915}]",n
Name a golf course in Myrtle Beach .,entity,13,"[{'location': -0.0015544589, 'entity': -6.476835, 'n': -11.708149, 'description': -11.970937, 'ab': -16.275694}]",location
Which two states enclose Chesapeake Bay ?,location,36,"[{'location': -0.00031548884, 'entity': -8.201265, 'description': -10.570041, 'n': -11.133707, 'ab': -14.095964}]",location
What does the abbreviation AIDS stand for ?,abbreviation,1,"[{'ab': -3.076318e-07, 'n': -15.0215225, 'description': -19.731155, 'entity': -20.813843, 'location': -22.832138}]",ab
What does a spermologer collect ?,entity,13,"[{'description': -0.13258563, 'entity': -2.0862143, 'n': -11.370699, 'human': -13.231951, 'location': -13.3209095}]",description
How many points make up a perfect fivepin bowling score ?,numeric value,38,"[{'n': -6.6619094e-07, 'entity': -14.295692, 'description': -16.7453, 'ab': -17.129402, 'location': -20.396301}]",n
Which company that manufactures video-game hardware sells the `` super system '' ?,human being,28,"[{'entity': -0.0015700395, 'description': -6.459952, 'n': -12.900099, 'ab': -13.77213, 'location': -15.019452}]",entity
How many Community Chest cards are there in Monopoly ?,numeric value,38,"[{'n': -4.2433903e-06, 'entity': -12.400463, 'description': -15.871532, 'ab': -16.72205, 'human': -20.18903}]",n
What do Mormons believe ?,description,25,"[{'description': -0.0024683687, 'entity': -6.00652, 'n': -13.491505, 'human': -13.7546425, 'location': -15.762218}]",description
When did the neanderthal man live ?,numeric value,39,"[{'entity': -0.28175145, 'description': -1.4341714, 'n': -5.5986915, 'location': -5.757566, 'human': -7.982541}]",entity
In what religion was Isis the nature goddess ?,entity,16,"[{'entity': -0.088436544, 'description': -2.4712565, 'human': -8.8724785, 'n': -11.466198, 'location': -12.213878}]",entity
Where do the adventures of `` The Swiss Family Robinson '' take place ?,location,35,"[{'location': -0.00028866032, 'entity': -8.470922, 'description': -9.493872, 'n': -12.598509, 'ab': -14.51618}]",location
What relative of the racoon is sometimes known as the cat-bear ?,entity,2,"[{'description': -0.14112051, 'entity': -2.027885, 'n': -13.730032, 'location': -14.94245, 'human': -15.219938}]",description
How can I register my website in Yahoo for free ?,description,26,"[{'entity': -0.5321585, 'description': -0.8871237, 'n': -7.860352, 'human': -7.8872457, 'location': -10.015855}]",entity
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,entity,13,"[{'description': -0.106447704, 'entity': -2.2939095, 'n': -9.559793, 'location': -10.421213, 'human': -12.054032}]",description
How many people in the world speak French ?,numeric value,38,"[{'n': -1.6521892e-05, 'entity': -11.051987, 'description': -14.494744, 'ab': -15.756677, 'human': -16.446548}]",n
How many inches over six feet is the Venus de Milo ?,numeric value,38,"[{'n': -6.6294406e-06, 'entity': -12.634497, 'description': -12.646209, 'ab': -15.670638, 'location': -18.68891}]",n
How do they find or choose witnesses to an execution ?,description,26,"[{'description': -0.0035568157, 'entity': -5.6473703, 'human': -10.758569, 'n': -13.503343, 'location': -13.754006}]",description
What 1920s cowboy star rode Tony the Wonder Horse ?,human being,29,"[{'entity': -0.42881158, 'description': -1.1112837, 'human': -3.93506, 'n': -10.416299, 'location': -12.4153595}]",entity
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,entity,9,"[{'description': -0.006165441, 'entity': -5.0924153, 'n': -13.352715, 'human': -13.550073, 'ab': -14.97091}]",description
What ISPs exist in the Caribbean ?,human being,28,"[{'entity': -0.015041946, 'description': -4.3444486, 'location': -6.2449765, 'n': -11.524784, 'ab': -14.306629}]",entity
How do you ask a total stranger out on a date ?,description,26,"[{'description': -0.057309736, 'human': -3.1325047, 'entity': -4.4185004, 'n': -10.490605, 'location': -11.559902}]",description
What weapon is the mythological character Apollo most proficient with ?,entity,13,"[{'description': -0.09056098, 'entity': -2.44677, 'n': -12.283783, 'human': -12.955536, 'ab': -13.977134}]",description
What country do the Galapagos Islands belong to ?,location,33,"[{'location': -0.2931512, 'entity': -1.3714516, 'description': -8.434943, 'n': -9.098852, 'ab': -10.706528}]",location
What is ethology ?,description,24,"[{'description': -0.24431656, 'entity': -1.5308079, 'ab': -7.844101, 'n': -11.806023, 'human': -16.646164}]",description
Who was the prophet of the Muslim people ?,human being,29,"[{'entity': -0.4481117, 'human': -1.0455009, 'description': -4.6433854, 'n': -11.1889105, 'location': -11.548704}]",entity
Where did the term `` 86ed '' come from ?,description,25,"[{'entity': -0.67409587, 'description': -0.8945472, 'ab': -2.5073555, 'location': -9.437073, 'n': -10.658714}]",entity
Who is Snoopy 's arch-enemy ?,human being,29,"[{'entity': -0.10955603, 'human': -2.366415, 'description': -4.610891, 'n': -11.974797, 'location': -13.441814}]",entity
What is the nature of learning ?,description,24,"[{'description': -9.9022756e-05, 'entity': -9.221503, 'n': -15.641204, 'ab': -17.448446, 'human': -18.379967}]",description
What 's the only color Johnny Cash wears on stage ?,entity,4,"[{'description': -2.8087945e-05, 'entity': -10.52255, 'n': -13.957814, 'human': -15.583729, 'ab': -16.601826}]",description
What 's the term for a young fox ?,entity,21,"[{'description': -0.1073689, 'entity': -2.284714, 'n': -13.03421, 'location': -15.581969, 'ab': -16.16426}]",description
What U.S. state lived under six flags ?,location,36,"[{'location': -0.022076784, 'ab': -4.1752596, 'entity': -5.2772417, 'description': -6.6265078, 'n': -10.342046}]",location
What is the Kashmir issue ?,description,24,"[{'description': -0.0039136917, 'entity': -5.5458674, 'n': -13.227645, 'location': -14.555907, 'human': -16.020401}]",description
Where is the Loop ?,location,35,"[{'location': -1.306671e-05, 'description': -11.836987, 'entity': -12.405354, 'ab': -13.914494, 'n': -14.059315}]",location
What does `` extended definition '' mean and how would one write a paper on it ?,description,24,"[{'description': -0.02168913, 'entity': -4.0767045, 'ab': -5.409186, 'n': -11.324926, 'human': -12.231962}]",description
What country 's capital is Tirana ?,location,33,"[{'location': -0.011954515, 'entity': -4.438033, 'description': -10.35237, 'ab': -10.615226, 'n': -11.757873}]",location
What is titanium ?,description,24,"[{'description': -0.20310634, 'entity': -1.69389, 'n': -12.202076, 'ab': -14.729833, 'location': -16.488071}]",description
Who do Herb and Tootsie live next door to ?,human being,29,"[{'human': -0.46181443, 'description': -1.4674603, 'entity': -1.9714122, 'location': -9.441199, 'n': -11.438398}]",human
Which city has the oldest relationship as a sister city with Los Angeles ?,location,32,"[{'location': -0.0004449992, 'entity': -7.864954, 'description': -9.873202, 'n': -11.636285, 'ab': -14.346422}]",location
What is a caldera ?,description,24,"[{'description': -0.026396792, 'entity': -3.6478949, 'n': -12.445837, 'location': -13.433676, 'ab': -16.695532}]",description
Why do people get calluses ?,description,27,"[{'description': -1.5687427e-05, 'entity': -11.368796, 'human': -12.973975, 'n': -13.27983, 'location': -16.69341}]",description
What are the names of the tourist attractions in Reims ?,location,35,"[{'entity': -0.38087577, 'description': -1.3144695, 'location': -3.0345166, 'n': -10.7455225, 'human': -13.766167}]",entity
What are Cushman and Wakefield known for ?,description,27,"[{'description': -0.01371752, 'entity': -4.296081, 'n': -13.768271, 'ab': -14.398269, 'location': -14.747252}]",description
What body of water does the Danube River flow into ?,location,35,"[{'entity': -0.33394024, 'location': -1.332628, 'description': -3.9600997, 'n': -6.9482894, 'human': -9.641496}]",entity
Who is the founder of Scientology ?,human being,29,"[{'human': -0.3548768, 'entity': -1.2094147, 'description': -7.93722, 'n': -11.763323, 'location': -12.965174}]",human
What does the six-footed Musca domestica become when it enters a house ?,entity,13,"[{'description': -0.005703512, 'entity': -5.169621, 'n': -15.105885, 'location': -15.793308, 'ab': -16.542492}]",description
What is the history of skateboarding ?,description,25,"[{'description': -0.00027447072, 'entity': -8.204689, 'n': -13.807128, 'location': -16.345266, 'ab': -18.258856}]",description
Who starred in Singing in the Rain and The Singing Nun ?,human being,29,"[{'human': -0.02401888, 'entity': -3.7442944, 'description': -9.573258, 'n': -11.475579, 'location': -15.482316}]",human
How do I make fuel bricks from recycled newspaper ?,description,26,"[{'description': -0.00095557363, 'entity': -6.957277, 'n': -12.648515, 'location': -15.591049, 'human': -16.727242}]",description
What 19th-century painter died in the Marquesas Islands ?,human being,29,"[{'entity': -0.055296008, 'description': -3.0025618, 'human': -5.553419, 'location': -8.523695, 'ab': -10.17433}]",entity
The corpus callosum is in what part of the body ?,entity,3,"[{'entity': -0.772648, 'description': -1.1037027, 'location': -1.5844688, 'n': -7.292179, 'human': -7.3088803}]",entity
How do I log on to home page at Headquarters U.S. European Command ?,description,26,"[{'entity': -0.28867143, 'description': -1.7891979, 'location': -2.506277, 'ab': -6.558637, 'n': -7.344633}]",entity
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",location,33,"[{'location': -0.053200968, 'entity': -2.9890912, 'description': -6.7193384, 'ab': -8.381562, 'n': -10.10679}]",location
What is Nebraska 's most valuable resource ?,entity,13,"[{'description': -0.3443485, 'entity': -1.2434193, 'location': -5.8688693, 'n': -9.459843, 'human': -11.159115}]",description
How many species of the Great White shark are there ?,numeric value,38,"[{'n': -0.00078191294, 'entity': -7.167667, 'description': -11.567355, 'ab': -13.92419, 'location': -16.450434}]",n
What is the origin of head lice ?,description,25,"[{'description': -0.027132304, 'entity': -3.621302, 'location': -11.077265, 'n': -12.587595, 'human': -14.373217}]",description
What is the nickname for the state of Mississippi ?,location,36,"[{'description': -0.52711755, 'entity': -1.1104381, 'ab': -2.5249813, 'location': -9.0760145, 'n': -9.30858}]",description
What was the first domesticated bird ?,entity,2,"[{'description': -0.2727136, 'entity': -1.4326715, 'n': -11.308868, 'location': -12.265457, 'human': -13.221046}]",description
How many villi are found in the small intestine ?,numeric value,38,"[{'n': -3.529076e-06, 'entity': -12.695621, 'description': -14.542841, 'ab': -17.154833, 'location': -19.978045}]",n
What country did King Wenceslas rule ?,location,33,"[{'location': -0.21456541, 'entity': -1.6515466, 'description': -6.683719, 'n': -9.571674, 'ab': -10.389782}]",location
What is a fear of shadows ?,entity,7,"[{'description': -0.00094423845, 'entity': -6.970007, 'n': -12.611302, 'human': -14.4821825, 'ab': -14.810934}]",description
Who were the five Marx brothers ?,human being,29,"[{'entity': -0.76021016, 'human': -0.7865392, 'description': -2.5646, 'n': -9.818369, 'location': -11.716814}]",entity
In which year was New Zealand excluded from the ANZUS alliance ?,numeric value,39,"[{'n': -3.2973632e-05, 'entity': -10.416658, 'ab': -13.299296, 'description': -13.544282, 'location': -16.25734}]",n
When did CNN begin broadcasting ?,numeric value,39,"[{'n': -0.3466018, 'entity': -1.292105, 'description': -4.38127, 'ab': -5.241858, 'location': -8.331617}]",n
What causes the body to shiver in cold temperatures ?,description,27,"[{'description': -2.8682118e-05, 'entity': -10.567472, 'n': -12.869938, 'human': -14.882314, 'location': -16.657362}]",description
What are bear and bull markets ?,description,24,"[{'description': -0.0026545774, 'entity': -5.935523, 'ab': -12.333479, 'n': -12.800772, 'location': -17.108236}]",description
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,entity,5,"[{'entity': -0.23711704, 'description': -1.5554763, 'n': -11.656267, 'human': -13.488917, 'ab': -13.60126}]",entity
What is `` dew point '' ?,description,24,"[{'description': -0.022790032, 'entity': -3.8751688, 'ab': -6.348481, 'n': -10.375588, 'location': -13.937669}]",description
What is the meaning of Jesus ?,description,24,"[{'entity': -0.7084928, 'description': -0.84562355, 'human': -2.5471542, 'n': -11.32748, 'ab': -11.846012}]",entity
What company 's logo is a `` W '' in a circle ?,human being,28,"[{'entity': -0.0045203404, 'ab': -5.8269687, 'description': -6.4621544, 'n': -13.385937, 'location': -15.509426}]",entity
What is the definition of a cascade ?,description,24,"[{'description': -0.0012597742, 'entity': -6.6821218, 'ab': -12.176627, 'n': -14.003784, 'location': -18.406479}]",description
When did Rococo painting and architecture flourish ?,numeric value,39,"[{'description': -0.031911366, 'entity': -3.5897498, 'n': -5.6559496, 'location': -8.198255, 'human': -10.660718}]",description
What country 's national passenger rail system is called Via ?,location,33,"[{'entity': -0.258272, 'ab': -1.495897, 'description': -5.7601943, 'location': -7.8295608, 'n': -10.894869}]",entity
Who invented Make-up ?,human being,29,"[{'entity': -0.54733187, 'human': -0.9061118, 'description': -4.0518174, 'n': -11.07907, 'location': -11.858863}]",entity
What is the origin of the word `` attic '' ?,description,25,"[{'description': -0.09622214, 'entity': -2.3943024, 'ab': -7.649536, 'location': -10.81308, 'n': -12.375694}]",description
What did Delilah do to Samson 's hair ?,description,25,"[{'description': -3.249586e-05, 'entity': -10.381334, 'n': -13.499787, 'human': -15.620118, 'location': -16.3856}]",description
What kind of animals were in the Paleozoic era ?,entity,2,"[{'description': -0.033384584, 'entity': -3.4163952, 'n': -12.805913, 'location': -14.9996, 'ab': -17.316273}]",description
Which of the following was Rhodes Scholar ?,human being,29,"[{'human': -0.018666822, 'entity': -4.061895, 'description': -6.6870165, 'n': -10.493657, 'location': -13.179051}]",human
Who comprised the now-defunct comic book team known as the Champions ?,human being,29,"[{'entity': -0.7133308, 'human': -1.2717489, 'description': -1.4712806, 'n': -11.0208025, 'location': -13.201886}]",entity
How do you make a paintball ?,description,26,"[{'description': -0.00041256036, 'entity': -7.801659, 'n': -12.678124, 'human': -15.443086, 'location': -15.964715}]",description
What U.S. state is Fort Knox in ?,location,36,"[{'location': -0.0019432271, 'entity': -6.5560656, 'ab': -7.609082, 'description': -11.119267, 'n': -11.604253}]",location
What is a female rabbit called ?,entity,2,"[{'description': -0.3006328, 'entity': -1.3484995, 'n': -11.3298, 'human': -11.695301, 'location': -14.677052}]",description
Where is the highest point in Japan ?,location,34,"[{'location': -0.00019428364, 'entity': -8.612179, 'description': -11.970417, 'n': -12.032373, 'ab': -15.864635}]",location
Where do chihuahuas come from ?,description,25,"[{'location': -0.42931655, 'entity': -1.30511, 'description': -2.5526836, 'n': -10.61587, 'ab': -12.1210575}]",location
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,location,35,"[{'location': -0.80579185, 'description': -0.8069668, 'entity': -2.2380736, 'human': -8.017836, 'n': -9.7162075}]",location
What are the world 's four oceans ?,location,35,"[{'entity': -0.52416015, 'description': -0.9218272, 'n': -5.0327735, 'location': -5.618818, 'human': -12.222005}]",entity
What 's the only work by Michelangelo that bears his signature ?,entity,5,"[{'description': -0.2115146, 'entity': -1.6575214, 'human': -11.179944, 'n': -11.508511, 'location': -12.383939}]",description
What is the largest snake in the world ?,entity,2,"[{'description': -0.46101347, 'entity': -0.99621546, 'n': -9.505875, 'location': -12.12261, 'human': -13.406531}]",description
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,entity,5,"[{'description': -0.0019312226, 'entity': -6.251954, 'human': -13.471931, 'n': -14.048309, 'location': -14.757522}]",description
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,location,35,"[{'entity': -0.09054702, 'description': -2.5920346, 'location': -4.449662, 'n': -11.144776, 'ab': -12.534341}]",entity
How much money does a back injury lawsuit get ?,numeric value,41,"[{'n': -0.00016793102, 'entity': -8.746666, 'description': -11.69117, 'ab': -14.41642, 'human': -17.503052}]",n
What 's the common name for acetylsalicylic acid ?,entity,21,"[{'description': -0.57882637, 'entity': -0.8244701, 'ab': -6.9415426, 'n': -11.959532, 'human': -12.527128}]",description
What does the Georgetown `` Hoya '' mean ?,description,24,"[{'ab': -0.3325752, 'entity': -1.5431846, 'description': -2.6709921, 'n': -10.191858, 'location': -12.377946}]",ab
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,location,35,"[{'description': -0.09633345, 'entity': -2.388951, 'location': -9.598355, 'n': -10.253925, 'human': -11.64359}]",description
Which two products use a tiger as their symbol ?,entity,15,"[{'description': -0.18888912, 'entity': -1.7595909, 'n': -12.224312, 'location': -13.842751, 'human': -14.607009}]",description
How is the election of a new Pope announced to the world ?,description,26,"[{'description': -0.004622852, 'entity': -5.380851, 'human': -12.412062, 'location': -12.926321, 'n': -13.628776}]",description
How long does it take for your blood to make one complete trip through the body ?,numeric value,44,"[{'n': -0.00044094422, 'description': -7.7505326, 'entity': -11.521146, 'ab': -14.777487, 'human': -17.567625}]",n
