gold_hard,input,llm_soft,llm_hard
A,"FACT: An example of migration is birds flying south in the winter
Q: Weather is getting a little more chilly, so a flock makes their way
A: elsewhere
B: north
C: Narnia
D: the moon","[{' A': -0.00035645344, ' B': -7.943601, ' D': -13.5603, ' C': -15.064214, ' E': -16.963161}]", A
A,"FACT: volcanoes are often found under oceans
Q: Magma is sourced in volcanoes and
A: is high enough kelvin to melt steel
B: on the desert plains
C: is beneath the aliens
D: can freeze water at all times","[{' A': -2.1291178e-05, ' B': -11.094931, ' D': -12.040853, ' C': -15.295126, ' E': -17.150969}]", A
A,"FACT: a scar is an acquired characteristic
Q: An acquired characteristic is
A: a jagged raised welt you've had since you fell down the stairs 6 years ago
B: freckles from your mom's genes
C: brown, curly hair that resembles your sister's
D: a large nose just like your dad's","[{' A': -0.11567102, ' B': -2.242357, ' C': -5.805864, ' D': -11.241449, ' E': -13.900919}]", A
A,"FACT: clouds are formed by water vapor rising and condensing
Q: A storm is coming and dark clouds are rolling in, which were formed after
A: fluid was drawn from the air
B: rain was drawn on a sheet
C: water was wet in the future
D: people drew rain storms","[{' A': -4.763911e-05, ' D': -10.197397, ' C': -11.625459, ' B': -13.4009495, ' E': -18.2774}]", A
A,"FACT: a tape measure is used to measure distance
Q: What could be used to find out how much carpet is needed for a room?
A: a tape measure
B: a compass
C: a barometer
D: a beam balance","[{' A': -1.8841804e-07, ' D': -15.500008, ' B': -17.542747, ' C': -18.966087, ' E': -19.58316}]", A
A,"FACT: the amount of daylight is least in the winter
Q: If a day goes by and night falls surprisingly quickly
A: it is likely freezing
B: summer is just beginning
C: the beaches are opening
D: summer solstice is being celebrated","[{' A': -0.001604425, ' C': -6.753557, ' D': -8.040827, ' B': -9.079531, ' E': -14.4516535}]", A
A,"FACT: scientists make observations
Q: A person who has a job of making discoveries also
A: watches
B: fights
C: slaughters
D: explodes","[{' A': -6.827632e-08, ' B': -16.485062, ' D': -18.291885, ' E': -18.397552, ' C': -18.68927}]", A
A,"FACT: the color of an object can be discovered by looking at that object
Q: If a bird is green, another bird can realize that by
A: noticing it
B: visiting it
C: touching it
D: killing it","[{' A': -3.076318e-07, ' B': -14.713295, ' D': -19.495636, ' C': -19.59362, ' E': -20.136093}]", A
A,"FACT: webbed feet are used for moving faster through water by aquatic animals
Q: A flamingo may be able to run across a pond easier than a human, sparrow or a cat because it has
A: webbed feet
B: a tail
C: wings
D: a beak","[{' A': -6.827632e-08, ' D': -16.98574, ' B': -17.403847, ' C': -17.706543, ' E': -18.442291}]", A
A,"FACT: nearly all fossils are found in sedimentary rock
Q: What would a sedimentary rock likely hold?
A: a trilobyte
B: a cookie
C: a wheatgrass shake
D: a diner","[{' A': -0.029236272, ' B': -3.6615987, ' C': -5.9815674, ' D': -7.423973, ' E': -17.441025}]", A
A,"FACT: sweat cools a body
Q: If Paul is playing basketball and finds that his skin is becoming wet and smelly, it might be because
A: His body is trying to lower its temperature
B: His heart is pumping too fast
C: His body is too cold
D: The girls watching him play think he looks hot","[{' A': 0.0, ' B': -17.307732, ' C': -18.077637, ' D': -18.502457, ' E': -20.190681}]", A
A,"FACT: decomposition increases amount of organic matter in soil
Q: To naturally increase the amount of organic matter in soil add
A: fungi
B: sunflowers
C: trees
D: voles","[{' A': -5.912312e-06, ' D': -12.124243, ' B': -14.902593, ' C': -15.235449, ' E': -18.580854}]", A
