gold_hard,input,llm_soft,llm_hard
shame,"I was supposed to go out with my girlfriend one Saturday night, but I got really drunk with some friends earlier that afternoon and evening. So, I totally forgot about going out with my girlfriend. She showed up the next day, and that was when I remembered.","[{' guilt': -0.4885424, ' shame': -0.9506853, ' sadness': -12.63122, ' anger': -14.69465, ' disgust': -15.620241}]", guilt
anger,"I was on vacation, and therefore I did not attend a meeting of the day care centre.  Nevertheless, the very day I came back they called me early morining to ask me ""what are you going to do about the matter ?"" (which had been discussed in the meeting).  Then I got angry.","[{' anger': 0.0, ' fear': -18.29081, ' disgust': -21.789122, ' sadness': -22.040894, ' shame': -22.742882}]", anger
sadness,I missed the last tram home and had to walk in the pouring rain.,"[{' sadness': -0.0022833347, ' anger': -6.2098484, ' fear': -8.438326, ' shame': -10.26932, ' guilt': -11.368052}]", sadness
sadness,Having to go back home form the U.S. after having been there for ten weeks to visit my brother and his family.,"[{' sadness': -4.277735e-07, ' joy': -15.201636, ' guilt': -15.283416, ' shame': -17.116432, ' anger': -19.342796}]", sadness
shame,When I went to meet the family of my boyfriend in a party in his house. His mother was eager to know me and all his friends ready to make jokes about the situation.,"[{' joy': -2.0815281e-05, ' shame': -11.265308, ' fear': -11.771375, ' guilt': -15.185673, ' sadness': -16.08916}]", joy
joy,"When my red-cheeked, content child runs to meet me in the yard of the kindergarten and gives me a moist kiss on my cheek.","[{' joy': 0.0, ' sadness': -21.14389, ' fear': -21.420517, ' guilt': -22.948112, ' shame': -23.013222}]", joy
sadness,Found out that my grandmother might have been misdiagnosed as a psychiatric patient because the doctor did not know about neurologism.,"[{' shame': -0.43022802, ' sadness': -1.134238, ' anger': -3.7160249, ' guilt': -5.971289, ' disgust': -7.434233}]", shame
sadness,I found a baby opposum on the road and took it home and cared for it for a week. It had to be force-fed and carried in a fur pouch under my jersey. My father had the vet put it to sleep as he said they carried diseases.,"[{' joy': -0.22535998, ' sadness': -1.6017942, ' guilt': -8.6050825, ' shame': -9.945201, ' disgust': -12.599292}]", joy
sadness,"I was together with my family one night, a few days after my father had died, during that conversation I expressed my displeasure because nobody understands me.","[{' sadness': -0.0031574944, ' anger': -5.8253083, ' shame': -8.802938, ' guilt': -9.923644, ' fear': -13.848127}]", sadness
shame,When I failed the grade 7.,"[{' sadness': -0.45747524, ' shame': -1.013292, ' guilt': -5.4983306, ' fear': -12.705048, ' disgust': -13.59037}]", sadness
fear,I was in form five at the boarding school and my friends and I had gone drinknig beer in the nearby village.  And we were caught red handed there by a form master.,"[{' shame': -0.0011441823, ' guilt': -6.839401, ' fear': -9.597732, ' anger': -12.539313, ' disgust': -13.7107}]", shame
fear,"I am a ""cantor"" - I sing psalms in church. Several weeks ago I had to sing too, but the organist did not tell me in time. As I did not know the psalm, I was afraid and said that I could not sing.","[{' fear': 0.0, ' shame': -18.3609, ' anger': -19.516396, ' joy': -19.734291, ' guilt': -19.854422}]", fear
disgust,"When people are eating unsavoury (smacking, belching, speaking with food in their mouth, etc.).","[{' disgust': -9.606849e-06, ' shame': -11.6448765, ' anger': -14.054612, ' sadness': -16.588488, ' fear': -17.042131}]", disgust
anger,"A few weeks back, as I was in a hurry to leave the house, I left some of my things lying around.  This is something I never do. My uncle,who lives with us, as we live in a joint family, remarked that we were always doing things like  this.  This really got me mad.","[{' anger': 0.0, ' fear': -18.218071, ' disgust': -19.188934, ' sadness': -20.267159, ' shame': -20.59046}]", anger
shame,"When the teacher asked me a question in class, concerning something I had read earlier, and I did not know the answer, so I felt ashamed in front of the whole class.","[{' shame': 0.0, ' guilt': -16.894356, ' fear': -17.02031, ' sadness': -18.51416, ' anger': -20.257187}]", shame
shame,"I think that I am rather shy and do not mix with people as I would have liked to, out of shyness.","[{' shame': -0.0002476394, ' fear': -8.602565, ' guilt': -9.771983, ' sadness': -11.884409, ' disgust': -17.757793}]", shame
disgust,I came across a group of people with the same basic ideas/beliefs who were all fighting and going against what they would say was good.,"[{' anger': -0.16457571, ' shame': -1.9519445, ' disgust': -5.180338, ' sadness': -5.6984267, ' guilt': -7.426531}]", anger
disgust,A friend of mine remembered me when she needed me and did not even think about me when she did not need me.,"[{' shame': -0.10354911, ' guilt': -2.9071534, ' sadness': -3.2028303, ' anger': -5.8157372, ' disgust': -9.1449}]", shame
fear,Had fear of losing husband.,"[{' fear': 0.0, ' sadness': -18.799545, ' guilt': -21.139954, ' anger': -22.380997, ' shame': -22.600126}]", fear
fear,"When riding in a very fastly-driven car on a lose metal road at a very late hour - no other cars on road, and driver was taking corners very sharply. I felt afraid - because if an accident happened, the area was very isolated. Also, I feared for driver, after I was dropped off - would he make it home safely.","[{' fear': 0.0, ' joy': -21.6247, ' anger': -22.892662, ' sadness': -24.587553, ' guilt': -24.636803}]", fear
disgust,When I found out that the seat in the coach that I had booked had been sold to somebody else.,"[{' anger': -0.0006722194, ' shame': -8.238235, ' sadness': -8.239845, ' disgust': -8.918481, ' fear': -11.764893}]", anger
fear,My friend and I planned to search for old documents and utensils in the cellar. It was very late at night when we arrived in the cellar. He indicated the place where the police (40 years ago) found two dead bodies. I got very scared when he told me this story.,"[{' fear': 0.0, ' anger': -20.87809, ' joy': -21.170212, ' sadness': -22.068771, ' disgust': -22.574823}]", fear
shame,When five of my friends at the secondary school found out the bad things that I had been saying about them.,"[{' shame': -0.017581845, ' guilt': -4.049885, ' sadness': -12.593089, ' disgust': -14.971332, ' anger': -15.697306}]", shame
shame,Can't remember that feeling.,"[{' shame': -0.027172787, ' guilt': -4.248776, ' sadness': -4.3885083, ' fear': -9.683071, ' joy': -10.759244}]", shame
joy,My girlfriend who had been very far away from me came to my place. She saw me and ran after me. I didn't know that she had come. I couldn't see her. She held my shoulders standing behind me.,"[{' joy': 0.0, ' fear': -19.501175, ' sadness': -20.098808, ' guilt': -21.307615, ' shame': -22.087036}]", joy
