gold_hard,input,llm_soft,llm_hard
True,"On June 2017, the following claim was made: LinkedIn is available in multiple languages.
Q: Was this claim true or false?","[{'True': -2.4986643e-05, 'False': -10.595887, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Samsung entered the electronics industry in the late 1960s.
Q: Was this claim true or false?","[{'True': -0.00010450542, 'False': -9.166319, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Vincent D'Onofrio is an Emmy Award nominee.
Q: Was this claim true or false?","[{'True': -0.24113357, 'False': -1.5405489, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Natasha Lyonne also goes by the name Natasha Bianca Lyonne Braunstein.
Q: Was this claim true or false?","[{'True': -0.00020417797, 'False': -8.496663, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Ted Cruz is a politician and attorney.
Q: Was this claim true or false?","[{'True': -2.1768952e-05, 'False': -10.731939, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Sherilyn Fenn starred in a film.
Q: Was this claim true or false?","[{'True': -7.529741e-05, 'False': -9.494292, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Mercedes-Benz is a division of a German company.
Q: Was this claim true or false?","[{'True': -2.1171965e-05, 'False': -10.763128, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Prague's historic center was first included in the UNESCO list of World Heritage Sites in 1992.
Q: Was this claim true or false?","[{'True': -3.941184e-05, 'False': -10.140229, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Augustus Prew was born in Westminster, London.
Q: Was this claim true or false?","[{'True': -0.0062015452, 'False': -5.086051, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
False,"On June 2017, the following claim was made: Two and a Half Men originally aired on CBS in 1999.
Q: Was this claim true or false?","[{'True': -0.0012900336, 'False': -6.6537175, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Designated Survivor (TV series) is part of ABC.
Q: Was this claim true or false?","[{'True': -0.17314652, 'False': -1.8389409, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Ian Gillan writes songs.
Q: Was this claim true or false?","[{'True': -1.5687427e-05, 'False': -11.059494, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Punch-Drunk Love had Columbia Pictures as its distributor.
Q: Was this claim true or false?","[{'True': -3.7148744e-05, 'False': -10.200316, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Medical school around the world vary in admission structure.
Q: Was this claim true or false?","[{'True': -6.0276172e-05, 'False': -9.716842, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: For his performances in Mad Men, actor Jon Hamm was recognized with nominations for the Primetime Emmy Awards.
Q: Was this claim true or false?","[{'True': -1.9621319e-05, 'False': -10.838482, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: San Francisco Bay Area contains many airports.
Q: Was this claim true or false?","[{'True': -2.9519388e-05, 'False': -10.428199, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Fargo (season 3) was broadcast on FX.
Q: Was this claim true or false?","[{'True': -0.108144864, 'False': -2.2778683, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Port of Spain is a capital city.
Q: Was this claim true or false?","[{'True': -3.559716e-05, 'False': -10.2411175, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Resident Evil is loosely based on a series of video games.
Q: Was this claim true or false?","[{'True': -0.00012810968, 'False': -8.962057, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Pattie Boyd and George Harrison divorced in 1977.
Q: Was this claim true or false?","[{'True': -0.0002121687, 'False': -8.458181, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: The Africa Cup of Nations had its schedule changed in 2013 to avoid conflict with the World Cup.
Q: Was this claim true or false?","[{'True': -0.00898796, 'False': -4.716347, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Daenerys Targaryen is a character in a George R. R. Martin series.
Q: Was this claim true or false?","[{'True': -1.771398e-05, 'False': -10.9359, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Brian De Palma was born in the 1940s.
Q: Was this claim true or false?","[{'True': -0.006348796, 'False': -5.062669, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: The Burj Khalifa contains escalators.
Q: Was this claim true or false?","[{'True': -3.6670972e-05, 'False': -10.211233, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: The Thin Red Line (1998 film) features a performance by an American actor.
Q: Was this claim true or false?","[{'True': -7.350647e-05, 'False': -9.517232, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Elizabeth of York's father was Edward IV.
Q: Was this claim true or false?","[{'True': -1.9980816e-05, 'False': -10.816251, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
True,"On June 2017, the following claim was made: Sierra Morena is steeped in culture and tradition.
Q: Was this claim true or false?","[{'True': -0.018170863, 'False': -4.0170035, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
False,"On June 2017, the following claim was made: You Only Live Twice is the first James Bond film directed by Lewis Gilbert in 1970.
Q: Was this claim true or false?","[{'True': -0.071576774, 'False': -2.6725593, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
False,"On June 2017, the following claim was made: The Maze Runner had a budget of $39 million.
Q: Was this claim true or false?","[{'True': -0.0019269227, 'False': -6.252751, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
False,"On June 2017, the following claim was made: Hinduism contains the Yoga philosophy.
Q: Was this claim true or false?","[{'True': -3.058758e-05, 'False': -10.39267, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",True
