input,gold_hard,llm_soft,llm_hard
"scorsese doesn't give us a character worth giving a damn about . 
",negative,"[{' negative': 0.0, ' positive': -18.594727, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done . 
",positive,"[{' positive': 0.0, ' negative': -18.11509, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"at 78 minutes it just zings along with vibrance and warmth . 
",positive,"[{' positive': 0.0, ' negative': -17.87326, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"labute's careful handling makes the material seem genuine rather than pandering . 
",positive,"[{' positive': 0.0, ' negative': -17.477303, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"monte cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.2864, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"over-the-top and a bit ostentatious , this is a movie that's got oodles of style and substance . 
",positive,"[{' positive': 0.0, ' negative': -17.429237, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"it's a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor . 
",positive,"[{' positive': 0.0, ' negative': -18.220465, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"here the love scenes all end in someone screaming . maybe there's a metaphor here , but figuring it out wouldn't make trouble every day any better . 
",negative,"[{' negative': 0.0, ' positive': -18.951704, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"this time out , [sade] is an unsettlingly familiar figure -- in turns loyal and deceitful , responsible and reckless , idealistically selfless and coldly self-interested . 
",positive,"[{' negative': -0.2041199, ' positive': -1.6893722, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"simply and eloquently articulates the tangled feelings of particular new yorkers deeply touched by an unprecedented tragedy . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.084076, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"like its bizarre heroine , it irrigates our souls . 
",positive,"[{' positive': 0.0, ' negative': -16.70887, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"spare yet audacious . . . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.626305, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"directed without the expected flair or imagination by hong kong master john woo , windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length . 
",negative,"[{' negative': 0.0, ' positive': -18.437445, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a relentless , bombastic and ultimately empty world war ii action flick . 
",negative,"[{' negative': 0.0, ' positive': -17.957006, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"when cowering and begging at the feet a scruffy giannini , madonna gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game . 
",negative,"[{' negative': -6.827632e-08, ' positive': -15.588828, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller . 
",positive,"[{' positive': 0.0, ' negative': -18.06054, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a mechanical action-comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences . 
",negative,"[{' negative': -6.827632e-08, ' positive': -15.884055, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"even by dumb action-movie standards , ballistic : ecks vs . sever is a dumb action movie . 
",negative,"[{' negative': 0.0, ' positive': -16.909317, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"where last time jokes flowed out of cho's life story , which provided an engrossing dramatic through line , here the comedian hides behind obviously constructed routines . 
",negative,"[{' negative': 0.0, ' positive': -17.985846, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
" "" the best disney movie since the lion king "" 
",positive,"[{' positive': 0.0, ' negative': -17.231827, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"an even more predictable , cliche-ridden endeavor than its predecessor . 
",negative,"[{' negative': 0.0, ' positive': -17.83042, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"to work , love stories require the full emotional involvement and support of a viewer . that is made almost impossible by events that set the plot in motion . 
",negative,"[{' negative': -0.00017770988, ' positive': -8.635667, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a sometimes tedious film . 
",negative,"[{' negative': 0.0, ' positive': -18.108261, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"talky , artificial and opaque . . . an interesting technical exercise , but a tedious picture . 
",negative,"[{' negative': 0.0, ' positive': -17.43103, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"but the power of these [subjects] is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film's narrative . 
",negative,"[{' negative': 0.0, ' positive': -16.737427, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
