input,gold_hard,llm_soft,llm_hard
i received this item for christmas and it has met and exceeded all my standards .,positive,"[{'positive': 0.0, 'negative': -17.096815, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
the main problem with the nomad jukebox zen xtra 30 gb is the software .,negative,"[{'negative': -6.827632e-08, 'positive': -16.170372, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
even with newborn diapers it filled way too fast .,negative,"[{'negative': -5.460492e-07, 'positive': -14.356017, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"purchased this router a few months back , no problems whatsoever .",positive,"[{'positive': -6.827632e-08, 'negative': -16.22181, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
the camera 's a work of art / science -- that 's understood .,positive,"[{'positive': 0.0, 'negative': -17.27152, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
too bad they don 't mention anything about how the cd can 't be used with a mac .,negative,"[{'negative': -6.827632e-08, 'positive': -15.599884, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
i upgraded from a very small 3 . 2 max camera to this camera with great results .,positive,"[{'positive': 0.0, 'negative': -17.542076, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i love this player .,positive,"[{'positive': 0.0, 'negative': -17.68975, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
my only reservations about this product concern the tagging process and the way it interacts with the software .,negative,"[{'negative': -0.00010057153, 'positive': -9.204652, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
video recording is limited at just 9 seconds .,negative,"[{'negative': -6.827632e-08, 'positive': -15.707039, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
it is currently permanently mounted ( 3 years now ) in my router table and will most likely stay there until its shot .,positive,"[{'positive': -0.0001486192, 'negative': -8.814357, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
range of functions - as indicated above - it has something for everyone : point and shoot power plus advanced functions for those who are serious about photography .,positive,"[{'positive': 0.0, 'negative': -17.08628, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"but about 25 % of dvd 's i 've played on it have a problem , when watching a movie the picture will freeze , but the dvd still plays , and eventually the picture kicks back in after skipping a few moments .",negative,"[{'negative': -6.746778e-06, 'positive': -11.90187, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
the storage capacity is great for me --,positive,"[{'positive': 0.0, 'negative': -18.680855, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"my ipod freezes occasionally , which is especially annoying when you 're in the middle of a game of "" brick . "" *",negative,"[{'negative': -3.076318e-07, 'positive': -14.7372055, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
i have a hard time using other phones with smaller screens ! . ! . ! .,positive,"[{'negative': -0.0027574345, 'positive': -5.8948393, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
in addition it comes with a sleek and powerful headset .,positive,"[{'positive': 0.0, 'negative': -16.900282, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"20 gb or 40 gb ? . the pros of the 40 gb : comes with a "" dock station "" and double storage space ( 10 , 000 songs ) .",positive,"[{'positive': -6.827632e-08, 'negative': -16.035362, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"2 ) nice features , like web browser , camera , video recorder , speaker phone ( very usefully ) , clear voice reception .",positive,"[{'positive': 0.0, 'negative': -16.953407, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"all-in-all , this is another excellent creative product .",positive,"[{'positive': 0.0, 'negative': -17.872307, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
im a more happier person after discovering the i/p button ! .,positive,"[{'positive': 0.0, 'negative': -18.060995, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
record memos using the built in microphone .,positive,"[{'positive': -1.8841804e-07, 'negative': -15.442679, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
their customer service agents are always prompt and polite and my service is terrific .,positive,"[{'positive': 0.0, 'negative': -17.961775, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"this is my fourth linksys product and , aside from the rough start , i 'm very satisfied with this router .",positive,"[{'positive': 0.0, 'negative': -17.001297, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"2 ) the remote works , but then it does not work , and you are left standing there thinking you are doing something wrong .",negative,"[{'negative': -1.2622395e-06, 'positive': -13.587532, ' Negative': -87.313866, '!': -87.33654, '""': -87.33654}]",negative
i immediately had problems getting the player to recognize two of my favorite dvds .,negative,"[{'negative': 0.0, 'positive': -16.985481, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
